INFO  - 2023-08-17 12:34:45.105; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:34:55.104; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:35:15.432; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:35:26.014; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:35:46.794; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:38:02.441; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:44:16.809; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:46:56.685; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:49:12.188; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:50:17.466; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:52:03.883; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:54:12.809; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:56:40.110; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_unprocessed.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:59:09.533; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_unprocessed.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 13:01:24.387; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_unprocessed.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 13:02:10.966; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_unprocessed.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_processed.jpeg rugcounter.jar
